Product,Inches,Ram,OS,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Price_log,Price_winsorized,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,Company_Apple,Company_Asus,Company_Dell,Company_HP,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Samsung,Company_Toshiba,Company_Company_Asus,Company_Company_Dell,Company_Company_HP,Company_Company_Lenovo,Company_Company_MSI,Company_Company_Mediacom,Company_Company_Samsung,Company_Company_Toshiba
MacBook Pro,-1.2057463211225212,-0.08649936486885113,macOS,-1.0023799010056689,0.3779229169594568,Standard,1.3382388580527615,1.8539341112975405,No,Yes,Yes,Intel,-0.0059176084570124,Core i5,-0.8662357456619557,-0.42344896001431154,SSD,No,Intel,Iris Plus Graphics 640,0.32057723268103683,0.3779229169594568,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Macbook Air,-1.2057463211225212,-0.08649936486885113,macOS,-1.047227408624472,-0.3456161465756612,Standard,-0.93286306827786,-0.6128298477422744,No,No,No,Intel,-0.9986742903899664,Core i5,-0.8662357456619557,-0.42344896001431154,Flash Storage,No,Intel,HD Graphics 6000,-0.42406116786056747,-0.3456161465756612,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
250 G6,0.40387314748575176,-0.08649936486885113,No OS,-0.2698706098985574,-0.8773988901753578,Full HD,0.04046632872097773,0.021480884582249147,No,No,No,Intel,0.3911850643161697,Core i5 7200U,-0.5159292888970851,-0.42344896001431154,SSD,No,Intel,HD Graphics 620,-2.098819203117718,-0.8773988901753578,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
MacBook Pro,0.26390623717198936,1.483417933462611,macOS,-0.3147181175173602,2.198975936971123,Standard,1.9871251227186533,2.558723813880344,No,Yes,Yes,Intel,0.788287737089352,Core i7,0.1846836246326558,-0.42344896001431154,SSD,No,AMD,Radeon Pro 455,1.1628307388919263,2.198975936971123,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MacBook Pro,-1.2057463211225212,-0.08649936486885113,macOS,-1.0023799010056689,1.1394816395109637,Standard,1.3382388580527615,1.8539341112975405,No,Yes,Yes,Intel,1.5824930826357153,Core i5,-0.5159292888970851,-0.42344896001431154,SSD,No,Intel,Iris Plus Graphics 650,0.760563575165074,1.1394816395109637,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aspire 3,0.40387314748575176,-0.8714580140345822,Windows 10,0.0889094510518644,-1.164680424193839,Standard,-1.0829180169818473,-1.077991051446925,No,No,No,AMD,1.383941746249124,A9-Series 9420,0.1518423943109492,-0.42344896001431154,HDD,No,AMD,Radeon R5,-0.13340218952297897,-1.164680424193839,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
MacBook Pro,0.26390623717198936,1.483417933462611,Mac OS X,-0.0007855641857408028,1.691669580069801,Standard,1.9871251227186533,2.558723813880344,No,Yes,Yes,Intel,-0.2044689448436027,Core i7,-0.5159292888970851,-0.42344896001431154,Flash Storage,No,Intel,Iris Pro Graphics,0.9901616628188982,1.691669580069801,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Macbook Air,-1.2057463211225212,-0.08649936486885113,macOS,-1.047227408624472,0.0808081464337141,Standard,-0.93286306827786,-0.6128298477422744,No,No,No,Intel,-0.9986742903899664,Core i5,-0.5159292888970851,-0.42344896001431154,Flash Storage,No,Intel,HD Graphics 6000,0.0777090450463583,0.0808081464337141,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ZenBook UX430UN,-0.7158621350243515,1.483417933462611,Windows 10,-1.1070240854495423,0.6328811743789444,Full HD,0.04046632872097773,0.021480884582249147,No,No,No,Intel,-0.9986742903899664,Core i7 8550U,0.1846836246326558,-0.42344896001431154,SSD,No,Nvidia,GeForce MX150,0.4903460461105252,0.6328811743789444,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Swift 3,-0.7158621350243515,-0.08649936486885113,Windows 10,-0.6585490092615148,-0.5572851808404785,Full HD,0.04046632872097773,0.021480884582249147,No,Yes,No,Intel,-1.3957769631631485,Core i5 8250U,-0.5159292888970851,-0.42344896001431154,SSD,No,Intel,UHD Graphics 620,-0.8148294653079787,-0.5572851808404785,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
250 G6,0.40387314748575176,-0.8714580140345822,No OS,-0.2698706098985574,-1.1746942376653404,Standard,-1.0829180169818473,-1.077991051446925,No,No,No,Intel,0.3911850643161697,Core i5 7200U,0.1518423943109492,-0.42344896001431154,HDD,No,Intel,HD Graphics 620,-0.13340218952297897,-1.1746942376653404,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
250 G6,0.40387314748575176,-0.8714580140345822,No OS,-0.2698706098985574,-1.2549853224015914,Full HD,0.04046632872097773,0.021480884582249147,No,No,No,Intel,-0.6015716176167848,Core i3 6006U,0.1518423943109492,-0.42344896001431154,HDD,No,Intel,HD Graphics 520,-0.13340218952297897,-1.2549853224015914,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
MacBook Pro,0.26390623717198936,1.483417933462611,macOS,-0.3147181175173602,2.184152209815769,Standard,1.9871251227186533,2.558723813880344,No,Yes,Yes,Intel,0.986839073475942,Core i7,-0.5159292888970851,-0.42344896001431154,SSD,No,AMD,Radeon Pro 555,1.1581860714299133,2.184152209815769,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
